ticker,name,category,display,technical_score,technical_tier,technical_score_weekly,technical_tier_weekly,fundamental_score,fundamental_tag,price,sma50,sma150,sma200,volume_financeiro,vcp,vcp_conf,wedge,wedge_conf,cup_handle,cup_handle_conf,double_bottom,double_bottom_conf,inverse_hs,inverse_hs_conf,pre_breakout,breakout,breakout_vol_ratio,breakout_resistance,vcp_weekly,wedge_weekly,cup_handle_weekly,double_bottom_weekly,inverse_hs_weekly,pre_breakout_weekly,breakout_weekly,roe,pl,pvp,rank
L1YV34,L1YV34,BDR,LYV (BDR: L1YV34),14.5,S,2.0,C,1.0,Fraco,165.75,157.62,149.33,152.28,726955466.25,False,0.0,False,0.0,True,0.8,True,0.65,True,0.85,True,False,1.58,169.91,False,False,False,False,False,True,False,14.927000000000001,999.0,143.13472,21
GSGI34,GSGI34,BDR,GS (BDR: GSGI34),14.3,S,0.5,C,3.0,OK,925.87,871.32,859.3,830.04,1197388778.15,False,0.0,False,0.0,True,0.8,True,0.5,True,0.9,True,False,0.8,952.01,False,False,False,False,False,False,False,14.548,16.913956,2.573534,22
UGPA3,ULTRAPAR PARTICIPACOES S.A.,BR_STOCK,UGPA3,14.3,S,2.0,C,3.0,OK,29.36,28.21,24.06,22.44,230161852.78,False,0.0,False,0.0,False,0.0,True,0.5,True,0.65,True,False,2.07,30.81,False,False,False,False,False,True,False,16.381,12.493618,2.002865,23
G1WW34,G1WW34,BDR,GWW (BDR: G1WW34),14.3,S,3.6,C,3.0,OK,1234.1,1122.51,1049.99,1034.32,701501917.32,False,0.0,False,0.0,True,1.0,False,0.0,True,0.65,True,True,2.09,1183.01,False,False,False,False,True,True,False,46.098998,34.812412,15.663751,24
DTCR39,GLOBAL X DATA CENTER & DIGITAL INFRASTRUCTURE ETF,BDR,DTCR (BDR: DTCR39),14.3,S,3.3,C,0.0,Fraco,29.78,26.17,23.61,22.51,39054803.22,False,0.0,False,0.0,False,0.0,True,0.65,True,0.5,True,False,1.0,30.33,False,False,False,False,True,True,True,0.0,21.980703,999.0,25
CTGP34,CTGP34,BDR,C (BDR: CTGP34),14.12,S,2.0,C,3.0,OK,129.09,117.96,110.98,107.01,2421704578.74,False,0.0,False,0.0,True,0.85,False,0.0,True,0.75,True,False,1.72,134.65,False,False,False,False,False,True,False,7.649,15.956736,1.1502887,26
GGBR4,GERDAU S.A.,BR_STOCK,GGBR4,14.1,S,2.0,C,2.0,Fraco,23.77,20.21,19.89,18.99,172372912.32,False,0.0,False,0.0,False,0.0,True,0.8,True,1.0,True,False,0.56,24.61,False,False,False,False,False,True,False,3.066,28.638556,0.8862128,27
EUCA4,EUCATEX S.A. INDUSTRIA E COMERCIO,BR_STOCK,EUCA4,14.1,S,2.0,C,4.0,Forte,22.35,20.91,18.66,18.08,2594835.04,False,0.0,False,0.0,True,0.8,False,0.0,True,0.8,True,True,2.49,22.24,False,False,False,False,False,True,False,11.956,6.4595375,0.7440823,28
MOOO34,MOOO34,BDR,MO (BDR: MOOO34),14.0,S,0.5,C,3.0,OK,69.04,66.67,61.95,61.93,592367557.38,False,0.0,False,0.0,True,0.8,True,0.5,True,1.0,False,False,0.73,74.56,False,False,False,False,False,False,False,0.0,14.413362,-35.920914,29
DDNB34,DDNB34,BDR,DD (BDR: DDNB34),13.93,S,2.2,C,2.0,Fraco,48.36,46.33,42.41,39.59,182704179.03,False,0.0,False,0.0,True,0.85,True,0.65,False,0.0,True,False,1.02,50.3,False,False,False,False,True,False,False,0.8959999999999999,127.26316,1.421684,30
EPOL39,ISHARES MSCI POLAND ETF,BDR,EPOL (BDR: EPOL39),13.93,S,2.0,C,1.0,Fraco,39.14,37.31,35.47,34.48,28736861.53,False,0.0,False,0.0,True,0.65,True,0.5,True,0.9,True,False,1.63,40.94,False,False,False,False,False,True,False,0.0,12.599481,999.0,31
H1AS34,H1AS34,BDR,HAS (BDR: H1AS34),13.93,S,0.5,C,1.0,Fraco,97.39,93.87,86.65,84.05,248153711.43,False,0.0,False,0.0,True,0.85,True,0.65,False,0.0,True,False,1.73,99.2,False,False,False,False,False,False,False,-36.355,999.0,25.388426,32
MLAS3,GRUPO MULTI S.A.,BR_STOCK,MLAS3,13.9,S,2.0,C,3.0,OK,1.63,1.39,1.28,1.21,3749977.99,False,0.0,False,0.0,False,0.0,True,0.8,True,0.9,True,False,2.41,1.65,False,False,False,False,False,True,False,4.16,10.866666,0.44341674,33
A1RC34,A1RC34,BDR,ARCO (BDR: A1RC34),13.82,S,0.5,C,3.0,OK,8.95,8.44,7.78,7.53,6693937.56,False,0.0,False,0.0,True,0.85,True,0.5,True,0.85,False,False,0.68,9.75,False,False,False,False,False,False,False,33.176,8.861386,2.4473612,34
GOGL35,GOGL35,BDR,GOOG (BDR: GOGL35),13.8,S,3.3,C,4.0,Forte,395.3,320.27,307.08,285.04,5931431252.63,False,0.0,False,0.0,False,0.0,False,0.0,True,0.9,True,False,0.68,396.38,False,False,False,False,True,True,False,38.884997,30.129572,11.507,35
T1EV34,T1EV34,BDR,TEVA (BDR: T1EV34),13.8,S,2.0,C,3.0,OK,36.01,31.41,29.05,26.27,352892185.94,False,0.0,False,0.0,False,0.0,True,0.8,True,0.85,True,False,1.07,36.52,False,False,False,False,False,True,False,21.599,26.873133,5.0962353,36
ABEV3,AMBEV S.A.,BR_STOCK,ABEV3,13.8,S,2.0,C,4.0,Forte,16.41,15.35,13.7,13.06,507695857.28,False,0.0,False,0.0,True,0.8,True,0.65,False,0.0,True,False,0.97,17.01,False,False,False,False,False,True,False,17.251,16.575758,2.9147425,37
VIUR11,VIUR11,ETF,VIUR11,13.7,S,2.1,C,1.0,Fraco,2.65,2.12,2.0,1.93,187188.06,False,0.0,False,0.0,False,0.0,False,0.0,True,0.85,True,False,0.2,2.69,False,False,False,False,True,False,False,0.0,3.7323947,999.0,38
GGBR3,GERDAU S.A.,BR_STOCK,GGBR3,13.6,S,4.5,C,2.0,Fraco,20.42,17.71,17.18,16.52,871934.0,False,0.0,False,0.0,False,0.0,False,0.0,True,0.8,True,False,0.91,21.1,False,False,False,True,True,True,False,3.066,24.60241,0.76131535,39
