ticker,name,category,display,technical_score,technical_tier,fundamental_score,fundamental_tag,price,sma50,sma150,sma200,volume_financeiro,vcp,vcp_conf,wedge,wedge_conf,cup_handle,cup_handle_conf,double_bottom,double_bottom_conf,inverse_hs,inverse_hs_conf,pre_breakout,breakout,breakout_vol_ratio,breakout_resistance,roe,pl,pvp,rank
C1BL34,C1BL34,BDR,CB (BDR: C1BL34),10.1,A,5.0,Forte,321.9,328.12,309.18,300.21,318973601.05,False,0.0,False,0.0,False,0.0,False,0.0,True,0.8,True,False,0.55,336.14,15.433,11.390657,1.6948081,350
E1LV34,E1LV34,BDR,ELV (BDR: E1LV34),10.1,A,3.0,OK,374.71,314.03,331.58,323.58,441184293.36,False,0.0,False,0.0,False,0.0,False,0.0,True,0.8,True,False,0.62,376.85,12.086,15.891009,1.8552755,351
MOTV3,MOTIVA INFRAESTRUTURA DE MOBILIDADE S.A.,BR_STOCK,MOTV3,10.1,A,4.0,Forte,15.94,16.05,15.68,15.11,84215799.78,False,0.0,False,0.0,True,1.0,True,0.4,True,0.65,False,False,0.72,17.76,20.401,10.843537,1.9620876,352
N1GG34,N1GG34,BDR,NGG (BDR: N1GG34),10.1,A,0.0,Fraco,87.85,87.95,81.74,78.83,68510436.26,False,0.0,False,0.0,False,0.0,False,0.0,True,0.8,True,False,0.94,91.17,7.868,21.691357,8.786415,353
GLOG11,GLOG11,ETF,GLOG11,10.1,A,1.0,Fraco,72.05,72.39,67.79,66.23,103535.85,False,0.0,False,0.0,False,0.0,False,0.0,True,0.8,True,False,0.16,73.89,0.0,13.1,999.0,354
ALPA4,ALPARGATAS S.A.,BR_STOCK,ALPA4,10.1,A,5.0,Forte,12.6,12.49,11.64,10.74,37110781.12,False,0.0,False,0.0,False,0.0,True,0.55,False,0.0,True,False,2.4,12.94,15.432000000000002,15.949368,2.5693314,355
A1DC34,A1DC34,BDR,ADC (BDR: A1DC34),10.1,A,3.0,OK,76.5,77.5,73.87,73.01,86520429.0,False,0.0,False,0.0,False,0.0,False,0.0,True,0.8,True,False,1.04,79.74,3.7039999999999997,41.351353,1.5128443,356
ACWI11,ACWI11,ETF,ACWI11,10.0,A,0.0,Fraco,16.07,15.54,15.8,15.65,895806.06,False,0.0,False,0.0,False,0.0,False,0.0,True,0.75,True,False,0.45,15.9,0.0,999.0,999.0,357
RZAG11,RZAG11,ETF,RZAG11,10.0,A,0.0,Fraco,9.05,9.09,8.79,8.59,4557335.75,False,0.0,False,0.0,False,0.0,False,0.0,True,0.75,True,False,3.02,9.31,0.0,999.0,999.0,358
MOVI3,MOVIDA PARTICIPACOES SA,BR_STOCK,MOVI3,10.0,A,3.0,OK,12.1,12.93,10.9,9.86,65677592.07,False,0.0,False,0.0,False,0.0,True,0.85,True,0.9,False,False,0.88,14.7,11.6610005,11.52381,1.3826991,359
A1LB34,A1LB34,BDR,ALB (BDR: A1LB34),10.0,A,2.0,Fraco,192.61,179.7,148.94,131.24,419945273.01,False,0.0,False,0.0,False,0.0,True,0.7,True,0.55,False,False,1.3,215.71,-4.656,999.0,3.106663,360
A1TM34,A1TM34,BDR,ATO (BDR: A1TM34),10.0,A,3.0,OK,184.76,185.97,175.97,172.3,122381325.16,False,0.0,False,0.0,False,0.0,False,0.0,True,0.75,True,False,0.87,192.51,9.237,24.057291,2.140011,361
NEXG11,NEXG11,ETF,NEXG11,10.0,A,0.0,Fraco,131.99,129.6,126.9,126.02,62431.27,False,0.0,False,0.0,False,0.0,True,0.85,True,0.9,False,False,0.06,144.86,0.0,999.0,999.0,362
E1CO34,E1CO34,BDR,EC (BDR: E1CO34),10.0,A,2.0,Fraco,13.36,13.27,11.04,10.42,31882209.66,False,0.0,False,0.0,False,0.0,True,0.85,True,0.4,False,False,0.93,14.38,11.799999999999999,9.61151,0.0068057464,363
